Accuracy,AUC
0.5916666666666667,0.5187742574260029
0.6013888888888889,0.5301974509917851
0.6666666666666666,0.5
0.6125,0.5913184630018866
0.6638888888888889,0.5739242088834574
0.6666666666666666,0.5
0.6319444444444444,0.5167672181465663
0.6722222222222222,0.6041054010395739
0.6555555555555556,0.5535520073224589
0.6694444444444444,0.5839546142441979
0.626388888888889,0.5892180345685072
0.6402777777777778,0.5576510604504864
0.6611111111111111,0.5908884852920456
0.6180555555555555,0.5159132124782574
0.6555555555555554,0.566146235009971
0.6194444444444445,0.566586906993895
0.65,0.5626296495484365
0.6486111111111111,0.5845984110094188
0.6361111111111112,0.5676144684629448
0.6666666666666666,0.5
0.673611111111111,0.5697681940147378
0.6638888888888889,0.5905894275179656
0.6166666666666667,0.5315931581064248
0.6666666666666666,0.5366869982660999
0.6694444444444444,0.5836148023627435
0.6333333333333333,0.5821432900938728
0.6083333333333334,0.5536079112223911
0.6736111111111112,0.5898628694998146
0.6583333333333333,0.5970220427858225
0.6361111111111111,0.5725804904557364
0.6486111111111111,0.5672900826927203
0.6388888888888888,0.5734103466145327
0.6027777777777777,0.5311974382937023
0.6277777777777778,0.5884654150419569
0.6180555555555556,0.5787013812972694
0.6111111111111112,0.5412588264227093
0.6319444444444445,0.5692931471811282
0.6361111111111112,0.5818449596723659
0.611111111111111,0.5483565142110484
0.6472222222222223,0.5977727913029106
0.625,0.5664999358554323
0.6666666666666666,0.5
0.5958333333333333,0.5310285772687328
0.6541666666666667,0.574000183425795
0.6180555555555556,0.5396288723957162
0.6625,0.5703862604984068
0.6652777777777777,0.5952833166740245
0.6472222222222223,0.5527054261077241
0.625,0.6043787884857076
