Accuracy,Precision,Recall,F1-Score,AUC,CNN,Params,Layers,Time
0.7338976812661023,0.8400345871162992,0.6435905929115601,0.7288072018004501,0.8306820091113767,[max],12289,4,06/05/2022 15:32:41
0.7381302907618698,0.7536554354736172,0.7853593905266645,0.7691808596918086,0.8172494834303381,"[mean, max]",3073,5,06/05/2022 15:32:58
0.8108207581891792,0.8254331480876104,0.8363696588274263,0.8308654162553472,0.9004900639634285,"[32-64, 512-32, mean, max]",499975,23,06/05/2022 18:06:43
0.7960986382039014,0.7959120470733974,0.851275256707519,0.822663252240717,0.8808534903513087,"[mean, 64-256, 64-64, max]",418759,23,06/05/2022 18:38:44
0.7535885167464115,0.7757715036112935,0.7827095064590924,0.7792250618301731,0.8356794134045455,[128-128],2249860,12,06/05/2022 19:28:16
0.771255060728745,0.8020408163265306,0.7810533289168599,0.7914079543547574,0.8591324647145031,"[32-256, mean, 512-128, mean, mean]",1915399,24,06/05/2022 21:24:58
0.7881854987118145,0.8088624338624338,0.8102020536601524,0.8095316895581665,0.864015959653732,[64-128],2174084,12,06/05/2022 21:59:09
0.7381302907618698,0.8419023136246787,0.6508777740973832,0.7341677563982814,0.8319193760428261,[mean],12289,4,06/05/2022 22:00:06
0.7876334192123666,0.8048381824125531,0.8155018217952965,0.8101349128002633,0.8605559544554604,"[128-64, 64-128, mean, 64-512]",2733002,31,06/05/2022 23:44:16
0.7730953257269046,0.7535491198182851,0.8790990394170255,0.8114967130408195,0.854115652626533,"[256-128, mean]",828548,13,07/05/2022 01:15:28
0.7973868237026132,0.7845697329376855,0.8757866843325605,0.8276725622163092,0.881245212343906,"[128-32, 32-128, 32-64, mean, max]",221930,32,07/05/2022 02:40:55
0.6091277143908723,0.6121272863943874,0.8092083471348128,0.6970042796005707,0.6429816819220164,"[256-64, 64-512, mean, 512-256]",5246858,31,07/05/2022 07:43:21
0.7900257637099742,0.7776463630987581,0.8711493872143093,0.8217466020934229,0.8699030364626517,"[64-512, 32-32, 64-256]",4845226,30,07/05/2022 11:44:31
